scenario,seed,success,time_s,path_length_m,shortest_path_m,collisions,min_clearance_m,energy_j,ate_rmse_m,rpe_rmse_m,cpu_mean_ms,cpu_p95_ms
S1,0,0,38.21308868829153,18.937471251874737,17.84348246117805,0,0.5224745980323342,352.49856287598533,0.14059840726192951,0.04829994707053328,28.651504078095854,40.292314479940885
S1,1,1,28.072337344603305,18.38889415200422,16.292008920873805,0,0.5608911851567838,331.5489918778923,0.1351996130394608,0.050651492046084684,26.86167593074144,35.07722190709859
S1,2,1,26.702274520336115,17.96582281885487,15.955395383561033,0,0.4908918649847698,333.58928765613166,0.12195330650594767,0.04341035896122146,27.16325752243415,35.98344188035295
S1,3,0,33.47923397016227,18.493731385129877,17.02343909203761,0,0.522192304540916,352.5066963937803,0.15078352694559513,0.056121630321928816,29.625662478547348,39.74838434559697
S1,4,0,34.41931158680346,18.592664203790694,15.483553959912056,0,0.4854640289022201,341.7464397656068,0.13287059863955825,0.05890711164002661,28.094457631942472,41.083604570693346
S1,5,1,31.651438263878045,20.21595709892907,17.699101766269877,0,0.5202791316969633,367.20862149060576,0.13272416785904817,0.046815149389045387,27.16073639197516,39.358166220396626
S1,6,1,31.846838489914745,19.47539142497157,15.804412538699449,0,0.5171170451461689,356.7939321405083,0.13348269913028266,0.0519052614057551,28.892496314523992,40.420164585290905
S1,7,1,31.730198441009687,20.451833295654563,16.53567497506585,1,0.5376719990481631,469.3081772497552,0.14301581936152383,0.05861164228036272,26.454434486511825,38.92313083217596
S1,8,1,25.819006403409134,17.32724709268426,15.819299197011448,1,0.4840252797646074,420.34880063611064,0.1485195493089495,0.04721111002106709,26.555538375086925,39.8390289312846
S1,9,1,28.380673987070256,16.9444005611559,15.095619210380235,0,0.4049225719328236,310.113011181955,0.15284617310986715,0.0434359290950227,29.305944589441562,37.43281380778047
S1,10,1,25.797947282166117,16.813460273481187,15.471354866060326,0,0.39776897924354987,314.9470745891585,0.15437006648672044,0.04560442587061269,25.632225669490094,35.697431702710865
S1,11,1,29.44197161125283,17.140839606047777,15.339344709054231,0,0.527874588585854,322.64201570987535,0.14361770653999015,0.05851474672362064,29.44500941447784,42.6196840724304
S2,0,1,39.267353978727655,24.041151965622127,19.676582711043665,1,0.42260793505544725,543.0367893164819,0.16231481077796261,0.05035362719144315,30.448265199986224,40.80598050061723
S2,1,1,38.03537154899624,24.44704664410834,21.879193559461484,0,0.3452459794424868,443.27013989757484,0.14869185532508045,0.05057779331813495,27.64893927786294,35.85027675535482
S2,2,1,36.21119672622298,24.713059599931743,20.905227092616002,0,0.5210145419867106,457.318353813867,0.13469637514871585,0.05580879622805878,28.677138037758134,40.22456211104612
S2,3,1,37.8436372441289,23.594579349038057,21.128494911488048,0,0.34286846058965315,429.51973857151825,0.1262264747034339,0.05519009438481968,27.937227326318876,40.279845363534704
S2,4,1,36.055402574033636,21.699103890303675,19.545280234901277,0,0.4255925600058913,409.8462031220509,0.13801822104772876,0.0591982506321076,28.473983632570796,41.91335969296089
S2,5,1,37.51855452241175,24.016125572959368,20.301201606368995,1,0.4172429499268422,539.6139396441366,0.14727777488974977,0.051277071046192946,27.84506997882909,40.661001231061405
S2,6,1,43.16706063493225,26.30728253082233,21.76435104277561,0,0.4090008077881442,490.34331929717877,0.125519369506813,0.05994734356381576,27.884157940749734,37.71969210498732
S2,7,1,35.73761023071978,22.23509231946832,19.047166216643014,0,0.3794844408044036,418.93707043139995,0.15001603767263097,0.04942917619177435,28.855104560196047,39.09251719047786
S2,8,1,36.6004320604506,23.391731958996505,21.264952342743697,0,0.4253803888048214,422.66138961700966,0.15710396174663588,0.054954732034715244,27.99316624470845,36.723786843037686
S2,9,0,47.71106012184116,27.189695019703674,20.922974781493195,1,0.4606487394919053,598.5552246337019,0.15812011318994135,0.060604514415709826,29.987132458276978,40.1326401646628
S2,10,1,37.3599608707981,23.50751479937868,19.80682748148296,0,0.4867829958454808,432.9110558577835,0.16477831598938425,0.06253929586544518,28.920847445247777,38.31061161215721
S2,11,1,36.82227539506038,24.878603028662216,20.282961495867784,0,0.48921358570184703,456.15021538541765,0.12882573436692263,0.054284184321086934,32.636064513280246,41.515070801017636
S3,0,1,45.513407736340696,31.086313972704122,23.2584480697967,0,0.31713270088512185,568.3305682469057,0.15034444833990596,0.057305233865563084,32.810881327534695,44.89747537252172
S3,1,1,42.03928237486418,28.542188970850045,23.33621079078357,0,0.31130780302876127,522.9782207578603,0.1598095585442323,0.06562427486332993,30.619480743011085,43.988860642997665
S3,2,1,50.0997220335166,33.13340232099056,24.21249016838822,0,0.32005770412086443,600.0097316179885,0.15657088015758505,0.053825420445854866,32.41037012859607,45.70127523481661
S3,3,1,44.11200279575152,28.83745604193384,24.447374975844102,0,0.42097065663804956,532.2439092702899,0.15791746472034301,0.06986601147635534,31.00885575300661,43.482532281578244
